Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
HiEnd Accents,43150,754477-1,234795,45,5,0,754477,40,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754603-4,234794,65,5,0,754603,60,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754627-1,234920,105,5,0,754627,100,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754674-2,234807,190,5,0,754674,185,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754684-1,234803,115,5,0,754684,110,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754759-2,234810,30,5,0,754759,25,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754778-2,234799,38,5,0,754778,33,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754816-1,234808,230,5,0,754816,225,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754832-2,234790,52,5,0,754832,47,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754843-1,234806,39,5,0,754843,34,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754904-1,234805,220,5,0,754904,215,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754912-2,234798,26,5,0,754912,21,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,754970-2,235108,27,5,0,754970,22,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755020-1,235136,450,5,0,755020,445,0,,HIEND 022118 (27.2) N
HiEnd Accents,43150,755033-2,234796,172,5,0,755033,167,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,755042-2,235146,40,5,0,755042,35,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755054-1,235143,16,5,0,755054,11,0,,HIEND 022118 (27.2) N
HiEnd Accents,43150,755085-2,234922,27,5,0,755085,22,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,755095-1,235101,224,5,0,755095,219,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755097-1,235105,185,5,0,755097,180,0,,HIEND 022118 (27.2) N
HiEnd Accents,43150,755126-3,234923,40,5,0,755126,35,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,755138-2,235102,200,5,0,755138,195,0,,HIEND 022118 (27.2) N
HiEnd Accents,43150,755177-1,234792,230,5,0,755177,225,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755182-1,234791,180,5,0,755182,175,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755256-1,234804,70,5,0,755256,65,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755275-1,234797,24.5,5,0,755275,19.5,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755287-1,234924,23,5,0,755287,18,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755290-2,234809,25,5,0,755290,20,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755311-2,234800,79,5,0,755311,74,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,755361-1,234801,257,5,0,755361,252,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,755362-1,235151,68,5,0,755362,63,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755411-1,235138,64,5,0,755411,59,0,,HIEND 022118 (27.2) N
HiEnd Accents,43150,755424-1,234793,175,5,0,755424,170,0,,HIEND 022018 (27.1) N
HiEnd Accents,43151,755503-2,235137,44,5,0,755503,39,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755553-1,235095,140,5,0,755553,135,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755583-1,235109,47,5,0,755583,42,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755637-1,235141,125,5,0,755637,120,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755663-1,235098,185,5,0,755663,180,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755680-2,235145,304,5,0,755680,299,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755683-1,235097,105,5,0,755683,100,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755692-1,235144,48,5,0,755692,43,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755764-1,235104,37.5,5,0,755764,32.5,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755772-3,235107,55,5,0,755772,50,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755777-1,235106,200,5,0,755777,195,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755823-1,235099,334.5,5,0,755823,329.5,0,,HIEND 022118 (27.2) N
HiEnd Accents,43152,755829-4,235173,50,5,0,755829,45,0,,HIEND 022218 (13) N
HiEnd Accents,43151,755880-1,235140,74,5,0,755880,69,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755898-2,235142,27,5,0,755898,22,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755910-2,235103,699,5,0,755910,694,0,,HIEND 022118 (27.2) N
HiEnd Accents,43151,755919-1,235096,68.5,5,0,755919,63.5,0,,HIEND 022118 (27.2) N
