Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Artisans Gallery,43137,742289-1,742289-1,98.9,12.9,0,742289,86,0,,ARTISTIC GALLERY 020718 742289-1 N
Artisans Gallery,43136,745409-1,745409-1,26.5,5,0,745409,21.5,0,,ARTISANS GALLERY 020618 745409-1 N
Artisans Gallery,43133,746029-2,746029-2,60.6,6,0,746029,54.6,0,,ARTISANS GALLERY 020518 746029-2 N
Artisans Gallery,43133,746681-2,746681-2,78,4,0,746681,74,0,,ARTISANS GALLERY 020518 746681-2 N
Artisans Gallery,43136,746829-1,746829-1,220,12,0,746829,208,0,,ARTISANS GALLERY 020618 746829-1 N
Artisans Gallery,43136,747025-2,747025-2,135,12,0,747025,123,0,,ARTISANS GALLERY 020618 746829-1 N
Artisans Gallery,43138,747136-1,747136-1,65.55,12,0,747136,53.55,0,,ARTISANS GALLERY 020818 747136-1 N
Artisans Gallery,43138,747144-2,747144-2,60.6,6,0,747144,54.6,0,,ARTISANS GALLERY 020818 747144-2 N
Artisans Gallery,43136,747806-2,747806-2,39,2,0,747806,37,0,,ARTISANS GALLERY 020618 747806-2 N
Artisans Gallery,43138,747963-1,747963-1,60.6,6,0,747963,54.6,0,,ARTISANS GALLERY 020818 747963-1 N
Artisans Gallery,43138,748252-1,748252-1,45,5,0,748252,40,0,,ARTISANS GALLERY 020818 748252-1 N
Artisans Gallery,43138,748519-1,748519-1,147,10,0,748519,137,0,,ARTISANS GALLERY 020818 748519-1 N
Artisans Gallery,43138,748875-1,748875-1,45,5,0,748875,40,0,,ARTISANS GALLERY 020818 748875-1 N
Artisans Gallery,43138,748912-1,748912-1,32,2,0,748912,30,0,,ARTISANS GALLERY 020818 748912-1 N
Artisans Gallery,43138,749406-1,749406-1,73.6,9.6,0,749406,64,0,,ARTISANS GALLERY 020818 749406-1 N
Artisans Gallery,43137,749415-1,749415-1,129,18,0,749415,111,0,,ARTISTIC GALLERY 020718 749415-1 N
Artisans Gallery,43137,749491-1,749491-1,43,6,0,749491,37,0,,ARTISTIC GALLERY 020718 749491-1 N
Artisans Gallery,43138,749595-1,749595-1,60.6,6,0,749595,54.6,0,,ARTISANS GALLERY 020818 749595-1 N
Artisans Gallery,43138,749870-2,749870-2,45,5,0,749870,40,0,,ARTISANS GALLERY 020818 749870-2 N
Artisans Gallery,43138,750831-2,7508131-2,60.6,6,0,750831,54.6,0,,ARTISANS GALLERY 020818 7508131-2 N
Artisans Gallery,43138,749886-2,749886-2,228.85,29.85,0,749886,199,0,,ARTISANS GALLERY 020818 749886-2 N
Artisans Gallery,43138,750163-3,750163-3,162,12,0,750163,150,0,,ARTISANS GALLERY 020818 750163-3 N
Artisans Gallery,43138,750205-1,750205-1,37.75,2,0,750205,35.75,0,,ARTISANS GALLERY 020818 750205-1 N
Artisans Gallery,43138,750368-1,750368-1,32,2,0,750368,30,0,,ARTISANS GALLERY 020818 750368-1 N
Artisans Gallery,43138,750514-2,750514-2,80.45,8,0,750514,72.45,0,,ARTISANS GALLERY 020818 750514-2 N
Artisans Gallery,43138,750568-1,750568-1,60.6,6,0,750568,54.6,0,,ARTISANS GALLERY 020818 750568-1 N
Artisans Gallery,43138,750643-1,750643-1,60.6,6,0,750643,54.6,0,,ARTISANS GALLERY 020818 750643-1 N
Artisans Gallery,43138,750714-1,750714-1,82.81,10.81,0,750714,72,0,,ARTISANS GALLERY 020818 750714-1 N
Artisans Gallery,43138,750725-2,750725-2,32,2,0,750725,30,0,,ARTISANS GALLERY 020818 750725-2 N
Artisans Gallery,43138,716311-3,716311-3,67.85,8.85,0,716311,327,268,,ARTISANS GALLERY 020818 716311-3 N
Artisans Gallery,43133,731906-1,731906-1,690.65,62,0,731906,633,4.35,,ARTISANS GALLERY 020818 731906-1 N
Artisans Gallery,43136,747423-2,747423-2,34.5,2,0,747423,34.6,2.1,,ARTISANS GALLERY 020618 747423-2 N
Artisans Gallery,43138,748818-2,748818-2,36.5,2,0,748818,34.6,0.1,,ARTISANS GALLERY 020818 748818-2 N
Bacova Guild,43138,748668-2,4604276,37.75,0,0,748668,33.22,-4.53,,BACOVA 020818 (15) N
Bacova Guild,43138,747484-2,4604272,16.5,0,0,747484,14.52,-1.98,,BACOVA 020818 (15) N
Bacova Guild,43138,748678-1,4604277,8.25,0,0,748678,7.26,-0.99,,BACOVA 020818 (15) N
Bacova Guild,43138,749005-1,4604280,9,0,0,749005,7.92,-1.08,,BACOVA 020818 (15) N
Bacova Guild,43138,749357-2,4604282,12.5,0,0,749357,11,-1.5,,BACOVA 020818 (15) N
