Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Kimlor,43083,838979,76.95,6.95,0,728025,70,728025-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838978,50.45,6.95,0,728023,43.5,728023-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838977,56.7,6.95,0,728010,49.75,728010-1,0,,KIMLOR 122217 (35)
SOLSTICE ARTS,43083,79906,23,5,0,728008,18,728008-1,0,,SOLSTICE 121517 79906
SOLSTICE ARTS,43083,79906,63,5,0,727989,58,727989-1,0,,SOLSTICE 121517 79906
Kimlor,43083,838976,73.95,6.95,0,727982,67,727982-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838975,92.45,6.95,0,727966,85.5,727966-1,0,,KIMLOR 122217 (35)
Colorado Carpets,43100,1712-4,79.5,0,0,727960,79.5,727960-1,0,,COLORADO CARPETS 010218 BFD1712-4
WGI Gallery,43091,175981,70.02,3,0,727920,67.02,727920-1,0,,WGI 010418 175981
WGI Gallery,43091,175981,70.02,3,0,727909,67.02,727909-1,0,,WGI 010418 175981
Mohawk Factoring LLC,43084,8052378,507.03,42.93,0,727903,464.1,727903-1,5.68434E-14,,MOHAWK 122217 8052378
Colorado Carpets,43100,1712-4,53.5,0,0,727893,53.5,727893-1,0,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43084,839335,27.45,6.95,0,727887,20.5,727887-1,0,,KIMLOR 122717 (111)
WGI Gallery,43091,175981,70.02,3,0,727866,67.02,727866-2,0,,WGI 010418 175981
Colorado Carpets,43100,1712-4,75.5,0,0,727799,75.5,727799-1,0,,COLORADO CARPETS 010218 BFD1712-4
WGI Gallery,43091,175981,137.04,3,0,727795,134.04,727795-2,0,,WGI 010418 175981
WGI Gallery,43091,175981,70.02,3,0,727779,67.02,727779-1,0,,WGI 010418 175981
WGI Gallery,43091,175981,70.02,3,0,727776,67.02,727776-2,0,,WGI 010418 175981
Blue River Traders,43105,86,410,60,0,727747,350,727747-2,0,,BLUE RIVER 010518 86
