Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Artisans Gallery,43112,733543-3,180,18,0,733543,162,733543-3,0,,ARTISANS GALLERY 020818 733543-3
Artisans Gallery,43133,733555-2,98,4,0,733555,94,733555-2,0,,ARTISANS GALLERY 020518 733555-2 N
Artisans Gallery,43133,733608-1,98,4,0,733608,94,733608-1,0,,ARTISANS GALLERY 020518 733608-1 N
Artisans Gallery,43112,734335-1,172,12,0,734335,160,734335-1,0,,ARTISANS GALLERY 020818 734335-1 N
Artisans Gallery,43112,735842-2,172,12,0,735842,160,735842-2,0,,ARTISANS GALLERY 020818 735842-2
Artisans Gallery,43137,736031-2,78.25,10,0,736031,68.25,736031-2,0,,ARTISTIC GALLERY 020718 736031-2 N
Artisans Gallery,43136,736101-1,29.5,5,0,736101,24.5,736101-1,0,,ARTISANS GALLERY 020618 736101-1 N
Artisans Gallery,43136,736266-1,98,4,0,736266,94,736266-1,0,,ARTISANS GALLERY 020618 736266-1 N
Artisans Gallery,43133,736912-1,59,0,0,736912,59,736912-1,0,,ARTISANS GALLERY 020518 736912-1 N
Artisans Gallery,43133,737360-1,59,0,0,737360,59,737360-1,0,,ARTISANS GALLERY 020518 737360-1 N
Artisans Gallery,43133,737396-2,59,0,0,737396,59,737396-2,0,,ARTISANS GALLERY 020518 737396-2 N
Artisans Gallery,43133,737911-1,59,0,0,737911,59,737911-1,0,,ARTISANS GALLERY 020518 737911-1 N
Artisans Gallery,43133,738263-1,59,0,0,738263,59,738263-1,0,,ARTISANS GALLERY 020518 738263-1 N
Artisans Gallery,43133,738468-1,59,0,0,738468,59,738468-1,0,,ARTISANS GALLERY 020518 738468-1 N
Artisans Gallery,43133,738963-3,112.13,14.63,0,738963,97.5,738963-3,0,,ARTISANS GALLERY 020518 738963-3 N
Artisans Gallery,43112,739385-1,279,12,0,739385,267,739385-1,0,,ARTISANS GALLERY 020818 739385-1 N
Artisans Gallery,43137,739495-2,59,0,0,739495,59,739495-2,0,,ARTISTIC GALLERY 020718 739495-2 N
Artisans Gallery,43112,739585-1,78,4,0,739585,74,739585-1,0,,ARTISANS GALLERY 020818 739585-1 N
Artisans Gallery,43112,739590-1,60.6,6,0,739590,54.6,739590-1,0,,ARTISANS GALLERY 020818 739590-1 N
Artisans Gallery,43136,741166-1,110,6,0,741166,104,741166-1,0,,ARTISANS GALLERY 020818 741166-1 N
Artisans Gallery,43137,742289-1,98.9,12.9,0,742289,86,742289-1,0,,ARTISTIC GALLERY 020718 742289-1 N
Artisans Gallery,43136,745409-1,26.5,5,0,745409,21.5,745409-1,0,,ARTISANS GALLERY 020618 745409-1 N
Artisans Gallery,43133,746029-2,60.6,6,0,746029,54.6,746029-2,0,,ARTISANS GALLERY 020518 746029-2 N
Artisans Gallery,43133,746681-2,78,4,0,746681,74,746681-2,0,,ARTISANS GALLERY 020518 746681-2 N
Artisans Gallery,43136,746829-1,220,12,0,746829,208,746829-1,0,,ARTISANS GALLERY 020618 746829-1 N
Artisans Gallery,43136,747025-2,135,12,0,747025,123,747025-2,0,,ARTISANS GALLERY 020618 746829-1 N
Artisans Gallery,43138,747136-1,65.55,12,0,747136,53.55,747136-1,0,,ARTISANS GALLERY 020818 747136-1 N
Artisans Gallery,43138,747144-2,60.6,6,0,747144,54.6,747144-2,0,,ARTISANS GALLERY 020818 747144-2 N
Artisans Gallery,43136,747806-2,39,2,0,747806,37,747806-2,0,,ARTISANS GALLERY 020618 747806-2 N
Artisans Gallery,43138,747963-1,60.6,6,0,747963,54.6,747963-1,0,,ARTISANS GALLERY 020818 747963-1 N
Artisans Gallery,43138,748252-1,45,5,0,748252,40,748252-1,0,,ARTISANS GALLERY 020818 748252-1 N
Artisans Gallery,43138,748519-1,147,10,0,748519,137,748519-1,0,,ARTISANS GALLERY 020818 748519-1 N
Artisans Gallery,43138,748875-1,45,5,0,748875,40,748875-1,0,,ARTISANS GALLERY 020818 748875-1 N
Artisans Gallery,43138,748912-1,32,2,0,748912,30,748912-1,0,,ARTISANS GALLERY 020818 748912-1 N
Artisans Gallery,43138,749406-1,73.6,9.6,0,749406,64,749406-1,0,,ARTISANS GALLERY 020818 749406-1 N
Artisans Gallery,43137,749415-1,129,18,0,749415,111,749415-1,0,,ARTISTIC GALLERY 020718 749415-1 N
Artisans Gallery,43137,749491-1,43,6,0,749491,37,749491-1,0,,ARTISTIC GALLERY 020718 749491-1 N
Artisans Gallery,43138,749595-1,60.6,6,0,749595,54.6,749595-1,0,,ARTISANS GALLERY 020818 749595-1 N
Artisans Gallery,43138,749870-2,45,5,0,749870,40,749870-2,0,,ARTISANS GALLERY 020818 749870-2 N
Artisans Gallery,43138,7508131-2,60.6,6,0,750831,54.6,750831-2,0,,ARTISANS GALLERY 020818 7508131-2 N
Artisans Gallery,43138,749886-2,228.85,29.85,0,749886,199,749886-2,0,,ARTISANS GALLERY 020818 749886-2 N
Artisans Gallery,43138,750163-3,162,12,0,750163,150,750163-3,0,,ARTISANS GALLERY 020818 750163-3 N
Artisans Gallery,43138,750205-1,37.75,2,0,750205,35.75,750205-1,0,,ARTISANS GALLERY 020818 750205-1 N
Artisans Gallery,43138,750368-1,32,2,0,750368,30,750368-1,0,,ARTISANS GALLERY 020818 750368-1 N
Artisans Gallery,43138,750514-2,80.45,8,0,750514,72.45,750514-2,0,,ARTISANS GALLERY 020818 750514-2 N
Artisans Gallery,43138,750568-1,60.6,6,0,750568,54.6,750568-1,0,,ARTISANS GALLERY 020818 750568-1 N
Artisans Gallery,43138,750643-1,60.6,6,0,750643,54.6,750643-1,0,,ARTISANS GALLERY 020818 750643-1 N
Artisans Gallery,43138,750714-1,82.81,10.81,0,750714,72,750714-1,0,,ARTISANS GALLERY 020818 750714-1 N
Artisans Gallery,43138,750725-2,32,2,0,750725,30,750725-2,0,,ARTISANS GALLERY 020818 750725-2 N
Artisans Gallery,43138,716311-3,67.85,8.85,0,716311,327,716311-3,268,,ARTISANS GALLERY 020818 716311-3 N
Artisans Gallery,43133,731906-1,690.65,62,0,731906,633,731906-1,4.35,,ARTISANS GALLERY 020818 731906-1 N
Artisans Gallery,43136,747423-2,34.5,2,0,747423,34.6,747423-2,2.1,,ARTISANS GALLERY 020618 747423-2 N
Artisans Gallery,43138,748818-2,36.5,2,0,748818,34.6,748818-2,0.1,,ARTISANS GALLERY 020818 748818-2 N
Bacova Guild,43138,4604276,37.75,0,0,748668,33.22,748668-2,-4.53,,BACOVA 020818 (15) N
Bacova Guild,43138,4604272,16.5,0,0,747484,14.52,747484-2,-1.98,,BACOVA 020818 (15) N
Bacova Guild,43138,4604277,8.25,0,0,748678,7.26,748678-1,-0.99,,BACOVA 020818 (15) N
Bacova Guild,43138,4604280,9,0,0,749005,7.92,749005-1,-1.08,,BACOVA 020818 (15) N
Bacova Guild,43138,4604282,12.5,0,0,749357,11,749357-2,-1.5,,BACOVA 020818 (15) N
Bacova Guild,43138,4604283,9,0,0,749609,7.92,749609-2,-1.08,,BACOVA 020818 (15) N
Bacova Guild,43138,4604284,7.75,0,0,749625,6.82,749625-2,-0.93,,BACOVA 020818 (15) N
Bacova Guild,43138,4604281,14.75,0,0,749055,12.98,749055-1,-1.77,,BACOVA 020818 (15) N
Bacova Guild,43138,4604279,7.45,0,0,748880,6.56,748880-2,-0.89,,BACOVA 020818 (15) N
Bacova Guild,43138,4604286,7.45,0,0,749758,6.56,749758-3,-0.89,,BACOVA 020818 (15) N
Bacova Guild,43138,4604273,7.2,0,0,747502,6.34,747502-3,-0.86,,BACOVA 020818 (15) N
Bacova Guild,43138,4604275,28.95,0,0,748078,25.48,748078-2,-3.47,,BACOVA 020818 (15) N
Bacova Guild,43138,4604278,17.55,0,0,748750,15.45,748750-2,-2.1,,BACOVA 020818 (15) N
