itemCode,yahooID,itemName,description,amzbulletpoint1,amzbulletpoint2,amzbulletpoint3,amzbulletpoint4,amzbulletpoint5
WG718R,wg718r,Pinecone Toilet Seat - Round,"Delicate pine needles surround two pinecones on this oak veneer seat with a high gloss finish, wood composite core and antique brass hinges. Hardware included. Made in the USA.  Measures 14 1/2""W x 16 1/2""D x 2""H. ~ Ships from the manufacturer.  Allow 1 to 2 weeks.  Cannot express ship.",,,,,
2DD25615,pinecone-hurricane-candle-holder,Pinecone Hurricane Candle Holder,"Exclusive - Detailed pinecones and branches wrap around a glass hurricane on the metal Pinecone Hurricane Candle Holder in a black finish.  Holds one pillar candle (not included).  Measures 9""W x 8Â½""D x 9Â¼""H. ~",,,,,
LROWE03INSG93D0,zigzag-diamonds-rug-9-x-13,Zigzag Diamonds Rug - 9 x 13,"Showcase your southwestern style with the Zigzag Diamonds Rug - 9 x 13, designed with a relaxed, yet refined cream, indigo, sage, and terracotta design with a meticulously hand-knotted texture on a hand-woven base.
<ul><li>Hand woven jute/wool with no backing</li>
<li>9'3""W x 13'L</li>
<li>Spot clean and vacuum carefully without beater bar; professional cleaning recommended.</li>
<li>Multicolor</li>
<li>Long-wearing durability</li>
<li>Rug pad recommended for use on hard floor</li>
</ul> ~ Ships from the manufacturer. Allow 1 week. Cannot express ship.",,,,,
WL20028,turquoise-feather-candle-holder,Turquoise Feather Candle Holder,"Delicate stamped metal feathers in turquoise and gold encompass a glass insert candle holder to create western detail in any room. 4 1/4""W x 4 1/4""D x 5""H",,,,,
WRWD24551,yellowstone-ii-king-sham,Yellowstone II King Sham,"Make a statement in your bedroom with the Yellowstone II King Sham, adorned with stunning Native American-inspired geometrics in turquoise, red, and shades of brown for a true tribal feel. <ul><li>Acrylic/poly/wool blend</li> <li>Yellowstone fabric</li> <li>20""W x 40""L</li> <li>Blanket stitch on open edge flange</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 3 to 5 weeks. Cannot express ship.",,,,,
RE1928,lodge-flatware-set-20-pcs,Lodge Flatware Set (20 pcs),Etched pinecones and five different wildlife designs adorn the handles of this high-quality stainless steel flatware for a rustic accent to your table.  Includes four five-piece place settings.  Dishwasher safe. ~,,,,,
RE561,,Bear Paw Outlet Cover,"Add wild detail to a room with the hand-painted Bear Paw Outlet Cover in detailed polyresin.  Screws included.  Measures 4""W x 1""D x 5""H. ~",,,,,
CARJB3014,,Brown Bear Faux Fur Pillow,"A Black Forest Decor Exclusive - Soft, 100% poly faux brown bear fur adds luxury to the Brown Bear Faux Fur Pillow.  Zipper closure.  Dry clean.  Measures 18""W x 18""L. ~",,,,,
AQJ20,headdress-burlap-pillow,Headdress Burlap Pillow,"Bring southwest style to your room with the natural Headdress Burlap Pillow, screen-printed with a headdress image in warm, neutral tones.  Spot clean.  Measures 16""W x 16""L. ~",,,,,
DS13338,double-ox-yoke-with-horseshoe-coat-rack,Double Ox Yoke with Horseshoe Coat Rack,"Hang your coats with western style with this wooden yoke-shaped rack featuring an iron horseshoe and star center and four iron coat hooks. 33""W x 4 1/2""D x 5""H",,,,,
