asin,sku,cost,item_description,vendor,brand, map pricing 
B01GJY14CI,2AER17790,,Black Forest Decor A Gentle Light Framed Print,,,1000
B01GJY1YN2,2AER17791,,Black Forest Decor Orange Haven Framed Print,,,1000
B01GJY3ZXO,2AER17897,,Black Forest Decor Good by Day Birds Framed Print,,,1000
B01GJY1504,2AER17898,,Black Forest Decor A Quiet Place Framed Print,,,1000
B01GJY2ATO,2AER17929,,Black Forest Decor Preface Framed Prints - Two Piece Set,,,1000
B07CDR4C5N,2AER17956,,Black Forest Decor Abstract Field I Gallery Wrapped Canvas,,,1000
B07BWF9B59,2AER17957,,Black Forest Decor Abstract Field II Gallery Wrapped Canvas,,,1000
B07BW4P1QM,2AER17967,,Black Forest Decor Reach The Sky Framed Art,,,1000
B07BW3YXJW,2AER17973,,Black Forest Decor Desert Dusk Framed Art,,,1000
B07BWFNSV2,2AER17974,,Black Forest Decor Fall Daydream I Framed Art,,,1000
B07BW9RDGT,2AER17975,,Black Forest Decor Fall Daydream II Framed Art,,,1000
B07BW8YZ41,2AER17976,,Black Forest Decor Aspen Sentries Framed Art,,,1000
B07BWHKJ2W,2AER17993,,Black Forest Decor Autumn Fields I Framed Art,,,1000
B07BWF68SG,2AER17994,,Black Forest Decor Autumn Fields II Framed Art,,,1000
B07CDQXFJJ,2AES18813,,Vibrant Forest Framed Art,,,1000
B07BWDK64R,2AES18818,,Black Horse in Motion Framed Art,,,1000
B07BWFMW5Y,2AES18831,,Black Forest Decor Garden Sentries I Gallery Wrapped Canvas,,,1000
B07BW15Y2S,2AES18832,,Black Forest Decor Garden Sentries II Gallery Wrapped Canvas,,,1000
B07BWC44H5,2AES18835,,Black Forest Decor River Birch Treeline Framed Canvas,,,1000
B07BW91DB1,2AES18841,,Black Forest Decor Dotted Trees Framed Art,,,1000
B07CB4HL39,2AES18842,,Black Forest Decor Misty Trees Framed Art,,,1000
B07BWBGFGN,2AET19628,,Black Forest Decor Abstract Field I Framed Canvas,,,1000
B07BWGW29K,2AET19629,,Black Forest Decor Abstract Field II Framed Canvas,,,1000
B07BWLC5CM,2AEU20636,,Black Forest Decor Garden Sentries I Framed Canvas,,,1000
B07CB44X7K,2AEU20637,,Black Forest Decor Garden Sentries II Framed Canvas,,,1000
B01NAY1UZ1,2BG10752,,Black Forest Decor Lake Lodge Shower Curtain,,,1000
B01MROX7D7,2BG11326,,Black Forest Decor Moose and Bear Parade Shower Curtain,,,1000
B0714QJRW9,2BG11333,,Black Forest Decor Tribal Flamestitch Shower Curtain,,,1000
B07176XX6W,2BG11343,,Black Forest Decor Lakeside Lodge Shower Curtain,,,1000
B071LJ3K81,2BG11373,,Forest Signs Shower Curtain,,,1000
B0728NYJF3,2BG11413,,Black Forest Decor Southwestern Feathers Shower Curtain,,,1000
B0728NYM3M,2BG11613E,,Black Forest Decor Southwestern Feathers Rug,,,1000
B078K4CCTG,2BG11841,,Black Forest Decor Rustic Tree Line Bath Rug,,,1000
B01NAANX48,2BG21407E,,Black Forest Decor Pinecone Trio Coir Doormat,,,1000
B01N993NG3,2BG21444E,,Black Forest Decor Welcome Fish Doormat,,,1000
B01LXP7D77,2BG23080E,,Forest Hideaway Plush Carved Rug - 2 x 3,,,1000
B01MCXUKJI,2BG23092,,Black Forest Decor Pinecone Chevron Carved Rug - 2 x 3,,,1000
B01M1A25W3,2BG28079E,,Black Forest Decor Wilderness Tracks Plush Carved Rug - 3 x 4,,,1000
B01LZZANDR,2BG28080E,,Forest Hideaway Plush Carved Rug - 3 x 4,,,1000
B01M6891Y0,2BG28092,,Black Forest Decor Pinecone Chevron Carved Rug - 3 x 4,,,1000
B01LYOELD2,2BG28101E,,Black Forest Decor Forest Hideaway Plush Carved Rug - 3 x 5,,,1000
B01M0AZ0RI,2BG30780E,,Forest Hideaway Plush Carved Rug - 5 x 8,,,1000
B01MQ0PQ6V,2BG30992,,Black Forest Decor Pinecone Chevron Carved Rug - 2 x 5,,,1000
B072C8SPLV,2BG47013,,Black Forest Decor Embroidered Feathers Fingertip Towel,,,1000
B071P3R5YH,2BG47273,,Forest Signs Fingertip Towel,,,1000
B00GW6ZR9U,2BG47341,,Bacova Guild Westlake Fingertip Towel,,,1000
B0725RWJ43,2BG47631,,Black Forest Decor Pine Cone Diamond Fingertip Towel,,,1000
B0717B75D1,2BG47633,,Black Forest Decor Tribal Flamestitch Fingertip Towel,,,1000
B071FMVYWC,2BG48013,,Black Forest Decor Embroidered Feathers Hand Towel,,,1000
B071Z9S96G,2BG48273,,Forest Signs Hand Towel,,,1000
B00GW704OM,2BG48341,,Bacova Guild Westlake Hand Towel,,,1000
B071VVKDKW,2BG48631,,Black Forest Decor Pine Cone Diamond Hand Towel,,,1000
B071FMW3XZ,2BG48633,,Black Forest Decor Tribal Flamestitch Hand Towel,,,1000
B00S6N7G3W,2BG48652,,Bacova Guild Lodge Memories Hand Towel,,,1000
B072637RC3,2BG49013,,Black Forest Decor Embroidered Feathers Bath Towel,,,1000
B07176XT2X,2BG49273,,Forest Signs Bath Towel,,,1000
B071FMW395,2BG49633,,Black Forest Decor Tribal Flamestitch Bath Towel,,,1000
B072LN1Q8C,2BG50331,,Black Forest Decor Pinecone Diamond Bath Rug,,,1000
B01N2YPLJM,2BG50352,,Black Forest Decor Lake Lodge Bath Rug,,,1000
B078KT8Z7D,2BG50526,,Black Forest Decor Wilderness Retreat Bath Rug,,,1000
B07GP8JY4W,2BG50572,,Black Forest Decor Pueblo Tribal Elegance Rug - 2 x 3,,,1000
B07GPBXV3B,2BG50573,,Black Forest Decor Las Cruces Pueblo Multi Rug - 2 x 3,,,1000
B07GPFJ5N4,2BG54572,,Black Forest Decor Pueblo Tribal Elegance Rug - 2 x 4,,,1000
B07GPGMQSP,2BG54573,,Black Forest Decor Las Cruces Pueblo Multi Rug - 2 x 4,,,1000
B01GJY1U2M,2BG63163,,Tranquil Forest Moose Rug - 2 x 3,,,1000
B072LNHWL6,2BG63189E,,Tranquil Forest Moose Rug - 2 x 5,,,1000
B072LP2BWY,2BG63191E,,Tranquil Forest Moose Rug - 5 x 8,,,1000
B07GLJP1RZ,2BG63197,,Forest Hills Wildlife Rug - 2 x 3,,,1000
B07GLJNGMQ,2BG63198,,Forest Hills Wildlife Rug - 2 x 5,,,1000
B01GJY1UJK,2BG64163,,Tranquil Forest Moose Rug - 3 x 4,,,1000
B07GLKR4MG,2BG64197,,Forest Hills Wildlife Rug - 3 x 4,,,1000
B07GLKZSMZ,2BG64198,,Forest Hills Wildlife Rug - 3 x 5,,,1000
B072JBWSZ2,2BG82143,,Black Forest Decor Lakeside Lodge Shower Curtain Hooks,,,1000
B072363FBY,2BG82173,,Forest Signs Shower Curtain Hooks (Set of 12),,,1000
B071FMW1HG,2BG82413,,Black Forest Decor Southwestern Feathers Shower Curtain Hooks (Set of 12),,,1000
B071W5XQHM,2BG82633,,Black Forest Decor Tribal Flamestitch Shower Curtain Hooks (Set of 12),,,1000
B0723D3KV1,2BG82652,,Black Forest Decor Lake Lodge Shower Curtain Hooks - Set of 12,,,1000
B00PHY76EM,2BG83375,,Bacova Guild Explore Shower Curtain Hooks,,,1000
B072363J84,2BG84273,,Forest Signs Bear Toothbrush Holder,,,1000
B072LXP7XD,2BG84326,,Black Forest Decor Moose & Bear Parade,,,1000
B072BYHW64,2BG84631,,Black Forest Decor Pinecone Diamond,,,1000
B07124YRFD,2BG84633,,Tribal Flamestitch,,,1000
B00S6N6UU2,2BG84652,,Bacova Guild Lodge Memories Toothbrush Holder,,,1000
B071FBMM3Q,2BG85143,,Black Forest Decor Lakeside Lodge Tumbler,,,1000
B072PT7YQ2,2BG85326,,Moose and Bear Parade Tumbler,,,1000
B071P3R45Q,2BG85631,,Black Forest Decor Pinecone Diamond Tumbler,,,1000
B071FMW49F,2BG85633,,Black Forest Decor Tribal Flamestitch Tumbler,,,1000
B0719WSPD8,2BG86413,,Black Forest Decor Southwestern Feathers Soap Dish,,,1000
B0725RWNPZ,2BG86631,,Black Forest Decor Pinecone Diamond Soap Dish,,,1000
B072FVL3T5,2BG86633,,Black Forest Decor Tribal Flamestitch Soap Dish,,,1000
B071W2N19J,2BG87143,,Black Forest Decor Lakeside Lodge Lotion Dispenser,,,1000
B072PVLZYN,2BG87273,,Forest Signs Moose Lotion Dispenser,,,1000
B0723D324T,2BG87326,,Black Forest Decor Moose and Bear Parade Lotion Dispenser,,,1000
B072FK7VK1,2BG87373,,Forest Signs Bear Lotion Dispenser,,,1000
B0725RWJ4F,2BG87375,,Forest Blocks Lotion Dispenser,,,1000
B071PF1XYN,2BG87413,,Black Forest Decor Southwestern Feathers Lotion Dispenser,,,1000
B07FL4VVV7,2BG87631,,Pinecone Diamond Lotion Dispenser,,,1000
B071SLK6P4,2BG87633,,Black Forest Decor Tribal Flamestitch Lotion Dispenser,,,1000
B071P9RJHH,2BG87652,,Black Forest Decor Lake Lodge Lotion Dispenser,,,1000
B0716ZYZTF,2BG88631,,Black Forest Decor Pinecone Diamond Tissue Box,,,1000
B071ZM17Y5,2BG88633,,Black Forest Decor Tribal Flamestitch Tissue Box,,,1000
B00S8FXROA,2BG88652,,Bacova Guild Lodge Memories Holder Tissue Cube,,,1000
B074745QC6,2BG89143,,Black Forest Decor Lakeside Lodge Wastebasket,,,1000
B071HXCWRW,2BG89273,,Forest Signs Waste Basket,,,1000
B072JG62RG,2BG89413,,Boot Blocks and Feathers Wastebasket,,,1000
B071FMW1HK,2BG89633,,Black Forest Decor Tribal Flamestitch Waste Basket,,,1000
